timestep	time	potential_energy	pressure	temperature
1570	5.349206	-171.0432948	0.02995658569	0.01888116861
1580	5.395037	-169.6482678	0.03042554688	0.02127386811
1590	5.421297	-167.8077401	0.03094427842	0.02382467907
1600	5.44981	-165.7631409	0.03151479996	0.02648460623
1610	5.496553	-164.1971905	0.03213657775	0.02918231397
1620	5.52304	-161.99553	0.03280269475	0.03182217205
1630	5.556533	-159.2487163	0.03350188577	0.03428547466
1640	5.584858	-156.3423655	0.03422598145	0.03643707196
1650	5.63299	-153.332592	0.03496580606	0.0381323002
1660	5.659032	-149.5239856	0.03572161455	0.03922623066
1670	5.685275	-145.2345231	0.03649215551	0.03958585954
1680	5.712643	-140.3418165	0.03728802355	0.03910012037
1690	5.763096	-135.0410103	0.03812604173	0.03769020803
1700	5.79193	-129.010379	0.0390284395	0.03534265145
1710	5.838443	-122.156334	0.03999383553	0.03219908616
1720	5.864637	-115.327568	0.04094408345	0.02870798968
1730	5.890895	-109.7775339	0.04169761727	0.02564840047
1740	5.918771	-106.7093208	0.04207717509	0.02368695661
1750	5.945851	-106.3829308	0.04211980179	0.02275201068
1760	5.973343	-106.9028779	0.04203751442	0.02213726813
1770	6.017128	-106.9191951	0.04203008486	0.02118044333
1780	6.050672	-105.9597326	0.04218377458	0.01960403162
1790	6.08061	-103.6198923	0.04250694089	0.01743888543
1800	6.113425	-100.494776	0.04295800289	0.01489854924
1810	6.162127	-96.78658978	0.04345026237	0.01233438835
1820	6.191007	-93.55114647	0.04385856867	0.01018647725
1830	6.217157	-92.06873964	0.04406142671	0.008833035621
1840	6.243168	-92.18933881	0.04400853427	0.00837991664
1850	6.269176	-93.59055406	0.04375335424	0.008587527489
1860	6.298841	-95.59709169	0.04341188974	0.009034717505
1870	6.325825	-97.02266166	0.04308616275	0.009361127734
1880	6.352896	-98.35482234	0.04283165335	0.009396911023
1890	6.380477	-98.80122231	0.04265045107	0.009155920298
1900	6.409369	-99.06475357	0.04251324311	0.008765232748
1910	6.457976	-99.31896805	0.04237758397	0.008387678827
1920	6.488646	-99.89993692	0.04220713189	0.008157771737
1930	6.515214	-100.7082593	0.04198448294	0.008140105652
1940	6.546621	-101.9576099	0.04171320394	0.008318551743
1950	6.572914	-103.3151804	0.04141456228	0.008616874788
1960	6.604357	-104.7133772	0.04111735181	0.008937445394
1970	6.632142	-106.2785618	0.04085044581	0.009198904858
1980	6.658663	-107.3636498	0.04062950933	0.009359540216
1990	6.692052	-108.5254309	0.0404543111	0.009422597641
2000	6.72105	-109.3013326	0.04031416501	0.009428100544
2010	6.765617	-110.2728319	0.04019694838	0.009436098776
2020	6.792435	-111.5083325	0.04008243267	0.009507031202
2030	6.822454	-112.794845	0.03995581073	0.009684047189
2040	6.848451	-114.1279905	0.03980840125	0.009981251754
2050	6.876041	-115.7018519	0.0396401825	0.01038093642
2060	6.905124	-117.5861834	0.03945836499	0.01083970264
2070	6.931223	-119.529302	0.03927341127	0.01130095895
2080	6.958189	-121.5247679	0.03909575673	0.0117089668
2090	7.004668	-123.4993746	0.03893065578	0.01201981223
2100	7.036414	-125.1307358	0.03878351078	0.0122081633
2110	7.086612	-126.6394665	0.03865773358	0.012268027
2120	7.115739	-127.9095233	0.03855017419	0.01220939486
2130	7.151266	-129.2214572	0.03845372886	0.01205341684
2140	7.177938	-129.9864024	0.03836336346	0.01182747091
2150	7.204366	-130.7366424	0.03826867885	0.01156153349
2160	7.230769	-131.4260618	0.03816661396	0.01128537875
2170	7.271143	-132.1571627	0.03805034516	0.01102654484
2180	7.3247	-133.0542461	0.03791458429	0.01080910188
2190	7.351914	-133.7464076	0.03775560618	0.01065254752
2200	7.386211	-134.7740963	0.03757094196	0.01057071127
2210	7.430853	-136.157468	0.03735928342	0.01057038539
2220	7.45952	-137.3327703	0.03712092186	0.01065061875
2230	7.485983	-139.02843	0.03685867489	0.01080251013
2240	7.514875	-141.0160143	0.03657420165	0.0110094757
2250	7.54323	-142.9149443	0.03627644392	0.01124863183
2260	7.570651	-144.7569712	0.03596914388	0.01149360934
2270	7.596895	-146.8629416	0.0356616507	0.01171758331
2280	7.625793	-148.7778609	0.03535928279	0.01189643513
2290	7.670261	-150.3155309	0.0350660901	0.01201168143
2300	7.699294	-151.8596177	0.03478669804	0.01205217214
2310	7.743291	-153.5130966	0.03452248516	0.01201471727
2320	7.769904	-154.978971	0.03427661501	0.01190369161
2330	7.80239	-156.0412002	0.03404529084	0.01172968452
2340	7.83158	-157.0698873	0.03382564344	0.01150766037
2350	7.857836	-158.0182388	0.03361629949	0.01125474937
2360	7.884115	-158.7532356	0.03341188833	0.01098812389
2370	7.930385	-159.7012626	0.03320759485	0.01072316251
2380	7.957929	-160.908052	0.03300131807	0.01047185884
2390	7.984989	-161.9581616	0.03279106677	0.01024162772
2400	8.0147	-162.8634112	0.03257564286	0.01003493878
2410	8.062801	-164.0479462	0.03235462559	0.009849602495
2420	8.093267	-165.135529	0.03213123818	0.009679308326
2430	8.123935	-166.1852592	0.0319064048	0.009515136577
2440	8.150902	-167.2451552	0.03167947011	0.009347288519
2450	8.180284	-168.0344139	0.03145849564	0.009166588997
2460	8.207119	-168.9625152	0.03124610568	0.008965714945
2470	8.233606	-169.8954854	0.03104522255	0.008739971834
2480	8.262613	-170.4440363	0.03085677618	0.008487865352
2490	8.296401	-170.9947605	0.03068258645	0.008211270295
2500	8.348814	-171.5642982	0.03052167112	0.007914766083
2510	8.394941	-171.6946942	0.03037270966	0.007605006074
2520	8.423815	-172.0872768	0.03023528697	0.0072901232
2530	8.450026	-172.4526143	0.03010929818	0.006978442755
2540	8.479234	-172.4391056	0.02999286926	0.006677902607
2550	8.507866	-172.4796736	0.02988302661	0.006395448066
2560	8.535023	-172.7958004	0.0297766056	0.006136594744
2570	8.561527	-173.14006	0.02967362441	0.005905125887
2580	8.592643	-173.3275957	0.02957147416	0.005703133795
2590	8.62032	-173.5573154	0.02946895719	0.005531186855
2600	8.652392	-174.014647	0.02936517424	0.005388493929
2610	8.699493	-174.198189	0.02925993955	0.005273139882
2620	8.72738	-174.59089	0.02915323486	0.005182439874
2630	8.753932	-175.0224784	0.02904351769	0.005113004366
2640	8.780782	-175.3581866	0.02893292619	0.005060970335
2650	8.809825	-175.6227125	0.0288221523	0.00502218999
2660	8.83839	-175.8371137	0.02871049436	0.004992396918
2670	8.870147	-175.7888834	0.02859968223	0.00496746943
2680	8.89736	-175.765633	0.02849087227	0.004943829173
2690	8.924697	-176.1457251	0.02838336468	0.004918605895
2700	8.954514	-176.3994699	0.02827723286	0.004889946682
2710	9.002337	-176.3011416	0.02817268965	0.004857218487
2720	9.02996	-176.2922095	0.028070654	0.004821092874
2730	9.057686	-176.1076469	0.02797025753	0.004783410341
2740	9.08701	-176.1857398	0.02787131581	0.00474687832
2750	9.117851	-175.9562389	0.02777319695	0.004714690921
2760	9.148802	-175.7229714	0.02767881085	0.004690238339
2770	9.177524	-175.5554274	0.0275837124	0.004676505251
2780	9.205441	-175.6298354	0.0274885091	0.004675379476
2790	9.232825	-175.5063115	0.02739427616	0.004687401967
2800	9.280993	-175.5070061	0.02730319798	0.004711652977
2810	9.328565	-175.4509086	0.02721358349	0.004745684364
2820	9.355872	-175.1893586	0.02712962236	0.004785740618
2830	9.387812	-175.1713141	0.02705156778	0.004827199373
2840	9.418668	-175.027243	0.02698147076	0.004864998558
2850	9.445804	-174.8666597	0.02692217278	0.004894279422
2860	9.474278	-174.7716587	0.02687433087	0.004910982584
2870	9.501019	-174.3756217	0.02683873273	0.004912380926
2880	9.527332	-174.163907	0.02681600231	0.004897483067
2890	9.553805	-173.8690381	0.02680415773	0.004867107027
2900	9.583653	-173.6249617	0.02680351122	0.004823851823
2910	9.628634	-173.3134178	0.02681360818	0.004771988179
2920	9.657089	-173.1423497	0.02683230916	0.00471708251
2930	9.68499	-172.9572966	0.02685746127	0.004665473273
2940	9.711303	-172.4148041	0.02688680155	0.004623570562
2950	9.737625	-172.2776225	0.02691930789	0.004597431967
2960	9.763816	-171.8802379	0.02695088991	0.004592048241
2970	9.790649	-171.8195221	0.02698413471	0.004611048013
2980	9.817525	-171.7840535	0.02701929183	0.004656348734
2990	9.848749	-171.6951014	0.02705448677	0.00472795169
3000	9.88083	-171.4108151	0.02709015339	0.004824015929
3010	9.948096	-171.0603933	0.02712739084	0.004941168834
3020	9.9745	-170.862294	0.02716829325	0.0050749086
3030	10.001832	-170.8113092	0.02721192979	0.005220068836
3040	10.028811	-170.6632996	0.0272610922	0.005371212092
3050	10.056709	-170.3464911	0.02731729679	0.005523297239
3060	10.087023	-170.0324388	0.02738079888	0.005672361332
3070	10.119077	-169.5398862	0.02745203281	0.005815770915
3080	10.146784	-169.0923364	0.02753154012	0.005952337844
3090	10.173669	-168.4163962	0.02761950822	0.006082450446
3100	10.223946	-167.9485405	0.02771493865	0.006208094801
3110	10.27752	-167.1981785	0.0278166411	0.006332794249
3120	10.306133	-166.3627109	0.02792265967	0.006461601065
3130	10.333741	-165.6008348	0.0280325271	0.006600987157
3140	10.36404	-164.4913662	0.02814572829	0.006758703214
3150	10.396749	-163.8720788	0.02826188099	0.006943566841
3160	10.424982	-163.243873	0.0283767537	0.007164812555
3170	10.454026	-162.5067003	0.0284899013	0.007431451711
3180	10.483544	-161.5881255	0.02860068705	0.007751650712
3190	10.50992	-161.1427917	0.02871065883	0.008131752718
3200	10.542563	-160.0197577	0.02881890038	0.008575064612
3210	10.587012	-159.1621272	0.02892729334	0.009081391336
3220	10.614195	-158.4738616	0.02904211812	0.009646262025
3230	10.641449	-157.6566817	0.02916410773	0.01026086504
3240	10.671799	-156.8544484	0.02929909769	0.01091287421
3250	10.6987	-156.4217422	0.02944924448	0.01158767673
3260	10.725086	-155.6302446	0.02961559555	0.01226982029
3270	10.751669	-155.1280114	0.02980089712	0.01294514606
3280	10.778077	-154.3293123	0.03000650374	0.01360260206
3290	10.805131	-153.0270713	0.03023109481	0.01423581455
3300	10.834635	-151.9405181	0.03046894693	0.01484408629
3310	10.901435	-150.7718038	0.03071826158	0.01543215871
3320	10.928149	-149.4713084	0.03097561759	0.01600941166
3330	10.95483	-147.7251738	0.03123843521	0.01658777168
3340	10.981196	-146.6253311	0.03149653093	0.01717848189
3350	11.008356	-145.2638791	0.03175009173	0.0177881427
3360	11.078379	-144.1176731	0.03199569071	0.01841539718
3370	11.106474	-143.0572993	0.03223177253	0.01904934333
3380	11.135249	-142.0115081	0.03246381258	0.01967149972
3390	11.163515	-141.4982382	0.03268647802	0.02026036498
3400	11.192534	-140.6724416	0.03290009303	0.02079741396
3410	11.238209	-140.122741	0.03309826903	0.02127332297
3420	11.267646	-139.3877615	0.03327238855	0.02168769447
3430	11.298805	-138.598293	0.03341622595	0.02204204505
3440	11.325805	-137.9965512	0.03352920609	0.02232990753
3450	11.357284	-137.4626932	0.03361042417	0.02252958085
3460	11.38449	-137.1378544	0.03366418965	0.02260738184
3470	11.428895	-136.7656729	0.03370651827	0.02252887771
3480	11.455634	-136.7647177	0.03374485309	0.02227146458
3490	11.486112	-135.8211753	0.03378187713	0.02183303928
3500	11.518001	-135.3520896	0.03381721252	0.02123269559
3510	11.564835	-134.4471109	0.03384406249	0.02050599985
3520	11.593943	-133.9070198	0.0338585081	0.01969824354
3530	11.624985	-133.4778955	0.03385807128	0.01885655698
3540	11.657036	-132.9927061	0.03383943438	0.01802462931
3550	11.689046	-132.7994522	0.03380150564	0.01723839983
3560	11.720059	-133.0332764	0.03373980858	0.01652286878
3570	11.749074	-133.2033648	0.03365373793	0.01589094979
3580	11.776426	-133.6413926	0.03354671594	0.01534460157
3590	11.82464	-134.1869212	0.03341756056	0.01487664472
3600	11.854711	-134.8611559	0.03327369	0.01447373864
3610	11.900753	-135.6795663	0.0331224467	0.01411963548
3620	11.930077	-136.7586336	0.03296923842	0.01379814944
3630	11.957764	-137.624573	0.03281557506	0.01349510363
3640	11.98561	-138.6799184	0.03265837709	0.01319974327
3650	12.014353	-140.2821452	0.03250538203	0.01290500543
3660	12.042238	-141.2281239	0.03235688074	0.01260719193
3670	12.072253	-142.1849019	0.03221034191	0.0123050725
3680	12.100977	-143.26393	0.03206482274	0.01199824767
3690	12.131337	-144.1496478	0.03192234973	0.01168626684
3700	12.16417	-144.8832447	0.03178455621	0.01136856
3710	12.211108	-146.363117	0.03165304109	0.01104486387
3720	12.242844	-147.0565701	0.03152457957	0.01071586237
3730	12.274047	-148.0627413	0.0313984487	0.01038466441
3740	12.30183	-148.728127	0.0312756867	0.01005714068
3750	12.329054	-149.4227491	0.03115149775	0.009741795928
3760	12.356057	-150.4213896	0.03102176765	0.00944838053
3770	12.38348	-151.2026517	0.03088751767	0.009186094788
3780	12.41124	-151.9715237	0.03074520596	0.008961670996
3790	12.438988	-152.7727451	0.03059124209	0.008777595797
3800	12.469104	-154.1762954	0.03042716238	0.00863138748
3810	12.51419	-155.2737234	0.03025673066	0.008515959918
3820	12.541783	-156.0270505	0.03008066041	0.008421229121
3830	12.569726	-157.1079244	0.02990122826	0.008335893211
3840	12.597072	-157.9370466	0.02972114786	0.008248883488
3850	12.623907	-158.6888911	0.0295450667	0.008150800901
3860	12.651372	-159.5113219	0.02937964069	0.008034785279
3870	12.679412	-160.273123	0.02922686958	0.007896768471
3880	12.708234	-160.9349813	0.02908712901	0.007735499899
3890	12.73573	-161.4856303	0.02896263872	0.007552300722
3900	12.765149	-162.1067675	0.02885218879	0.00735060433
3910	12.810011	-162.461893	0.02875570795	0.00713547126
3920	12.837447	-162.5343504	0.02867550318	0.006913047937
3930	12.867878	-163.0035428	0.02861014203	0.006689972222
3940	12.901193	-162.9522346	0.02855837423	0.006472721452
